,Date,Course.Length,Program,Organization,City,ZIP.Code,County,Number.Classes,Number.Students,Students.White,Students.African.Am,Students.Latino,Students.Other
1,8/27/2016,3,First Aid and CPR Certification,AmeriCorps Safe Families,Chicago,60621,Cook,1,3,0,3,0,0
2,9/8/2016,3,"Adult CPR, Pediatric CPR and Choking",St. Peters UCC,Chicago,60639,Cook,1,4,1,2,1,0
3,9/9/2016,3,First Aid and CPR Certification,Parent University,Chicago,60628,Cook,1,19,0,57,1,0
4,9/9/2016,3,"Adult CPR, Pediatric CPR and Choking",Corliss High School,Chicago,60628,Cook,1,19,3,14,2,0
5,9/12/2016,0.5,Scrubby Bears,Franklin Elementary School,Dolton,60419,Cook,6,88,1,80,7,0
6,9/13/2016,0.5,Hands-only Citizen CPR,Senior Community Employment Program,Chicago,60653,Cook,1,35,5,20,10,0
7,9/16/2016,5,First Aid and CPR Certification,Red Cross Corps/Safe Families AmeriCorps Members,Chicago,60612,Cook,1,2,1,1,0,0
8,9/19/2016,1,First Aid and CPR for Students,Edmond Burke Elementary School,Chicago,60615,Cook,2,35,0,35,0,0
9,9/19/2016,0.5,FALP,Edmond Burke Elementary School,Chicago,60615,Cook,1,20,0,20,0,0
10,9/19/2016,0.5,Home Alone,Edmond Burke Elementary School,Chicago,60615,Cook,1,20,0,20,0,0
11,9/19/2016,1,Kid Firestopper,James Madison Elementary School,Chicago,60619,Cook,3,73,5,55,13,0
12,9/19/2016,1,Home Fire Preparedness,James Madison Elementary School,Chicago,60629,Cook,1,25,3,18,4,0
13,9/20/2016,0.5,Kid Firestopper,Edmond Burke Elementary School,Chicago,60615,Cook,2,31,0,31,0,0
14,9/20/2016,0.5,Scrubby Bears,Edmond Burke Elementary School,Chicago,60615,Cook,2,31,0,31,0,0
15,9/20/2016,1,First Aid and CPR for Students,Edmond Burke Elementary School,Chicago,60615,Cook,2,34,0,34,0,0
16,9/20/2016,1,Kid Firestopper,James Madison Elementary School,Chicago,60629,Cook,3,74,4,61,9,0
17,9/20/2016,1,Home Fire Preparedness,James Madison Elementary School,Chicago,60629,Cook,1,24,3,17,4,0
18,9/21/2016,0.5,Home Alone,Oglesby Public Library,Oglesby,61348,La Salle,1,15,14,0,1,0
19,9/22/2016,0.5,FALP,Edmond Burke Elementary School,Chicago,60615,Cook,2,27,0,27,0,0
20,9/22/2016,0.5,Scrubby Bears,Edmond Burke Elementary School,Chicago,60615,Cook,1,17,0,17,0,0
21,9/22/2016,1,First Aid and CPR for Students,Edmond Burke Elementary School,Chicago,60615,Cook,1,15,0,15,0,0
22,9/22/2016,1,Hands-only Citizen CPR,Edmond Burke Elementary School,Chicago,60615,Cook,1,15,0,15,0,0
23,9/22/2016,0.5,Home Alone,Edmond Burke Elementary School,Chicago,60615,Cook,1,22,0,22,0,0
24,9/23/2016,0.5,Scrubby Bears,Hunt Club Community Center,Gurnee,60031,Lake,3,55,NA,NA,NA,NA
25,9/23/2016,1,Hands-only Citizen CPR,Edmond Burke Elementary School,Chicago,60615,Cook,2,29,0,29,0,0
26,9/23/2016,0.5,Home Alone,Edmond Burke Elementary School,Chicago,60615,Cook,1,24,0,24,0,0
27,9/23/2016,0.5,Kid Firestopper,Edmond Burke Elementary School,Chicago,60615,Cook,1,24,0,24,0,0
28,9/23/2016,0.5,Scrubby Bears,Edmond Burke Elementary School,Chicago,60615,Cook,1,24,0,24,0,0
29,9/24/2016,1,Home Fire Preparedness,ARC/North Chicago Fire Department/NAVY,North Chicago,60064,Lake,12,35,20,10,5,0
30,9/24/2016,5,"Adult CPR, Pediatric CPR and Choking",Red Cross Corps,Chicago,60612,Cook,1,3,NA,3,NA,NA
