case,date,incident_number,incident_type,incident_call_type,cas_event_number,status,address,city,state,zip,county,lat,lng,narrative,units_destroyed,units_major,units_minor,units_affected,num_people_injured,num_people_hospitalized,num_people_deceased,num_adults,num_children,num_families,assistance_given,incident_verified,dispatch_relayed,responders_identified,dat_on_scene,dat_departed_scene
1,1/1/2014,14-0533,fire,hot,1-1F69GF,closed,1348 W HOWARD ST,CHICAGO,IL,60626,Cook,42.0192661,-87.6652255,"BRICK APARTMENT BUILDING
3 FLOORS 2 APARTMENTS ON TOP FLOOR 2ND AND 3RD FLOOR MAJOR FIRE DAMAGE, 1ST FLOOR BOTH APARTMENTS WITH WATER DAMAGE AND WINDOWS BROKEN OUT, UTILITIES SHUT OFF, 
1348 HAS TWO UNITS, NO DAMAGE, NO UTILITIES, 
",0,2,2,1,0,0,0,10,8,5,NA,1/1/2014 7:00,1/1/2014 8:00,1/1/2014 8:08,1/1/2014 9:08,1/2/2014 1:45
2,1/1/2014,14-0534,police,hot,NA,closed,604 SIBLEY AVE.,CALUMET CITY,IL,60409,Cook,41.622805,-87.534153,"01/01/2014 8:24AM  CHRIS /CCFD CALLED IN REQ SERVICES FOR 2A AFFECTED BY VEHICLE RUN INTO HOME  @ 604 SIBLEY BLVD, CALUMET CITY  60409  HOME IS UNINHAB PER FD  HUSBAND TAKEN TO HOSPITAL    CL

8:40AM CHRIS W/CCFD CALLED BACK WITH CLIENT INFORMATION BEGAN CALL-OUT    CL

9:20AM RESP INDENTIFIED    CL

9:33AM JOCELYN P FR CONTACTED CLIENT  CLIENT HAS INSURANCE AND MAY NOT REQ SERVICES  SHE ASKED JOCELYN TO CALL BACK IN HALF HOUR     JOCELYN P IS CONTACTING CONSTANCE T TR TO LET HER KNOW THAT RESP IS ON HOLD    CL

10:00AM  JOCELYN P SPOKE W/ CLIENT AND SHE IS DECLINING SERV FM RC  JOCELYN LET CONSTANCE KNOW THAT RESP WAS CANCELLED   CL
",0,1,0,0,0,0,0,1,0,1,NA,1/1/2014 14:25,1/1/2014 14:30,1/1/2014 15:20,1/1/2014 16:00,1/1/2014 16:00
3,1/1/2014,14-0535,fire,hot,1-1F6ATB,closed,18405 REGAL ROAD,HOMEWOOD,IL,60430,Cook,41.555225,-87.653273,"01-01-2014 10:00AM  ANGELA W/ ECON HOMEWOOD DISP CALLED REQ SERV FOR 2A / 2C DISPLACED BY SF HOME FIRE  CLIENT, MARYANN CAZELL 720-388-0023 TRANSPORTED TO HOMEWOOD PD 708-206-3420     CL

10:15AM  BEGAN CALL-OUT    CL

12:10PM GEOFF W CALLED W / WRAPUP
RESP LEAVING SC    CL
",0,0,1,0,0,0,0,4,0,1,NA,1/1/2014 16:05,1/1/2014 16:20,12/30/2014 20:13,1/1/2014 17:30,1/1/2014 18:10
4,1/1/2014,14-0536,fire,hot,1-1F6ATV,closed,4323 SOUTH DEARBORN,CHICAGO,IL,60609,Cook,41.8101227,-87.627154,"SMOKE DAMAGE THROUGH OUT, NO WATER OR FIRE DAMAGE, HAVE FOOD, CLOTHING SALVAGABLE.  UTILITIES ON.  FIRE STARTED IN LIVING ROOM.  OFFICIALS RECOMMENDED CLIENT NOT RESIDE.",0,0,1,0,0,0,0,2,0,1,NA,1/1/2014 21:10,1/1/2014 21:15,1/1/2014 21:50,1/1/2014 22:59,1/1/2014 23:51
5,1/2/2014,14-0537,fire,hot,1-1F6AT5,closed,1457 WOODBURY CIR,GURNEE,IL,60031,Lake,42.37982,-87.982488,"2 STY SFD W/GARAGE
STARTED IN 2ND FL BEDROOM, CONTAINED TO BEDROOM, HEAVY FIRE, WATER AND SMOKE.
REST OF HOUSE SMOKE DAMAGE, SOME WATER DAMAGE, POWER OFF, KITCHEN CEILING COMING DOWN

9:55AM DMH REQUEST SENT TO RICH ARONS BY ADMIN KEN COZZI - KC
",0,1,1,0,0,0,0,0,0,0,NA,1/2/2014 7:40,1/2/2014 7:45,1/2/2014 8:10,1/2/2014 9:40,1/2/2014 22:15
6,1/2/2014,14-0538,fire,NA,1-1F76M7,closed,4002 S BRIGHTON PL,CHICAGO,IL,60632,Cook,41.820676,-87.692237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1/2/2014,14-0539,fire,NA,1-1F76MD,closed,1522 S WASHTENAW,CHICAGO,IL,60608,Cook,41.8603581,-87.6932515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1/2/2014,14-0540,fire,hot,1-1F76MJ,closed,131 S 9TH AVE,MAYWOOD,IL,60153,Cook,41.886806,-87.843754,"EXTERNAL DAMAGE ASSESMENT ONLY. NOBODY ALLOWED INSIDE UNTIL FIRE INSPECTOR ON SCENE TOMORROW (1/3/2014). WINDOWS ON 1ST AND 2ND FLOORS OUT AND BOARDED UP. UTILITIES OFF. COULDN’T TELL IF ROOF WAS VENTED OR NOT. ACTUAL INSIDE DAMAGE MAY BE MINIMAL, BUT WOULD HAVE TO FOLLOW UP W/ INTERIOR DA. 

CLIENTS DO HAVE INSURANCE BUT OFFICES ARE CLOSED UNTIL MONDAY 1/7/2014 AND CLIENTS HAVE NO WHERE TO STAY UNTIL THEN.

CLIENTS JUST BACK FROM VACATION, HAVE SUITCASES FULL OF CLOTHING AND WINTER COATS, ARE GOOD IN THAT REGARD.    
",0,0,0,1,0,0,0,2,6,1,NA,1/2/2014 22:45,1/2/2014 22:59,1/2/2014 23:38,1/3/2014 0:00,1/3/2014 1:41
9,1/2/2014,14-0541,fire,NA,1-1F76N9,closed,7951 S DAMEN AVE,CHICAGO,IL,60620,Cook,41.74872,-87.672744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1/3/2014,14-0542,fire,NA,1-1F76NF,closed,7139 S VERNON AVE,CHICAGO,IL,60619,Cook,41.7646159,-87.613674,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA
