,Category,Tweet
0,fire,"Firefighters battle a two-alarm blaze at 54 Main St. in Lisbon on Thursday. The fire broke out in the three-story, four-unit apartment building at around noon. Seven departments responded. Two cats died, no other injuries were reported. The cause remains under investigation.
.
🎥: Paul Hayes
.
#lisbonnh #lisbon #fire #structurefire #buildingfire #firefighter #nh #newhampshire #northcountrynh #northcountry"
1,fire,"Pray for Fort McMurray 
#forrestfire #cl415 #catastrophe #canada"
2,fire,"Addison and McGraw. E42X stretched. #fourthofjulydetroit2017
#detroitfiredepartment #dfd #enginecompany  #enginecompany42 #laddercompany #ladder13 #stretchingandlovingit #housefire #dwellingfire #buildingfire #struturefire #ineedarealcamera  #detroit  #southwest #chiefmiller @chief_miller #whatididthissummer2017"
3,fire,With fire season starting my brother is a hotshot and I couldn't be more proud. @zilliam_wekas is out there keeping it real. Support for the men and women out there battling nature every summer #firefighter #forrestfire
4,fire,These Forrest fires are OUT OF CONTROL! 🙏🏼🔥 #scary #lakelure #nc #forrestfire #partyrockfire #sad #prayer #northcarolina #home #pressed #viewings #currentsituation
5,fire,"I've never been this close to a site of such enormous devastation. It's puts things into powerful perspective and focus, and makes me that much more appreciative of the selfless work and dedication of the FDNY, as well as the NYPD. Our city's bravest and finest have shown tremendous grace under pressure, and my respect and admiration for the work they do grows by the minute. #eastharlem #buildingcollapse #nyc #harlem #elbarrio"
6,fire,#papagopark #scottsdale #arizona #sunset #sunrise_sunsets_aroundworld #sunsets_around_the_world #forrestfire at #dusk
7,fire,"4 alarm fire on October 31, 2016. This was an apartment building under construction in a high density area. Crews were challenged with the amount of fire on arrival and the close proximity of occupied exposure buildings. Exposure buildings had limited damage due the aggressive and strategic placement of hose lines by your Oakland Firefighters. #oakland #fire #buildingfire #4alarm @chief_miller #structurefire #busy #local55 #firefighter"
8,fire,Burning the midnight oil...#controlledburn #forrestfire #fire #fightfighter #firedepartment #forrestydepartment #hotshots
9,fire,#forrestfire #montana #2000
10,fire,Working Fire Wednesday today. Early morning building fire this morning before sunrise with mutual aid from many other companies. No injuries and everyone came home safe! Photo by Chief36. @snuser20 #firehouse #buildingfire #workingfire #fire #structurefire #garagefire #chescofirefighters #allvolunteer #volunteerfirefighters #firefightersofinstagram #firefighterlife #firelife #twoalarmfire
11,fire,Amukan api terbesar yg pernah kulihat langsung. Kamu? #photography #beautiful #fire #buildingfire #amazing #sos #indonesia #jakarta #followforfollow #light #nightmare #night #moments #scary
12,fire,"Thank you #calfire for your brave, tireless, sleepless and selfless crusade to keep us safe as you fight for our lives against this monster of a wildfire.  Many of you lost your own homes as you fought hard to save others. We are grateful for you; your heroism will never be forgotten. ************************************
#calfirestrong #sonomastrong #napastrong #calfirefirefighters #wildfire #naturaldisaster #smokesky #hope #gratitude #atlasfire #nunsfire #partrickfire #napavalleyfire #staysafe #napafire2017 #firestorm #napavalley #sonoma #sonomafire #winecountryfires #norcalfires #thankyoucalfire #napacountyfire #sonomacountyfire"
13,fire,One more from the other day because who doesn't love breaking stuff #firefighter #SmokinShotsPhotography #HFD #BuildingFire #ventilation
14,fire,****66-55-1406** 5th alarm #fdny#firefighters#NYC#BUILDINGCOLLAPSE#majoremergency#5thalarm
15,fire,When the whole vape crew goes camping. Lol jk this was a forrest fire close to home a few days ago. They never found what started the fire but i blame cigarettes. #vapeflo #vape #vapers #vapenation #vape💨 #centralfloridavapers #centralflorida #wilderness #fire #forrest #forrestfire #forrestgump #outdoors #florida #floridalife #floridasky
16,fire,Stay safe boys! @zach_radatz @zackkk_mcdonald #firefighter #forrestfire #grantspass #swofire #savagecreek #firecrew #putitout
17,fire,Oakland is in fire again
18,fire,"Bronx - 860 Hunts Point Ave
4th of July four alarm fire in the hunts point section of The Bronx.
__________________________
#NewYorkCity #NewYork #NYC #NY #NYPD #FDNY #FDNYEMS #Emergency #Police #EMS #Ambulance #FireTruck #PoliceCar #EmergencyResponse #TheBronx #Bronx #BX #Fire #BuildingFire #HuntsPoint"
19,fire,"Jobin' in West York, PA. Multi alarm commercial structure fire. #westyork #buildingfire #goestojobs"
20,fire,"On September 15, 2016 Firefighters were dispatched to a reported structure fire on the 500 block of 105th Ave. E27 arrived and reported fire showing from the rear of a 2 story residential. E27, E20 and E26 stretched multiple hose lines to the front and rear of the structure for interior operations and exposures. E29 arrived and assumed RIC duties. On arrival Truck 7 laddered the structure and cut multiple ventilation holes.
Oakland Firefighters are proud to serve and protect the citizens and visitors of the City of Oakland. #oakland #fire #workingfire #buildingfire #truckops @bayareafirefighter @californiafireman @califirefighters @chief_miller"
21,fire,"A hotel in Makkah's Azaziya neighbourhood caught fire on Sunday, sending plumes of smoke over the area as firefighters worked for hours to extinguish the flames that engulfed the 10-storey building.

According to the Saudi Press Agency, SPA, a spokesperson said in a statement that palm trees outside the hotel caught fire and flames from the fronds rapidly reached the building's upper floors. He did not indicate how the trees caught fire or name the hotel.#fire #buildingfire #firefire #flames #makkah #makkahfire #instagrammersgallery #instagram #instaphoto #instafire #instagrammersgallery #fire"
22,fire,Hotshot Saturday's! Nothing but respect for you brother and sisters out west! Slam the link button to support these firefighters!!! Do you know one? TAG them to honor them!
23,fire,"Mogadishu Truck Bombing: The death toll for the truck bombing in Mogadishu has raised to 85, police expect the death toll to rise, witnesses also say that the Safari Hotel collapsed after the bombing, a second bombing in the city left 2 dead, no group had yet claimed responsibility #somalia#truckbomb#terrorism#terrorattack#mogadishu"
24,fire,"Wildfires in the night in Venaus,Italy

#fires #italy #valsusa
#fire #piemonte #venaus #burn #burntrees
#mountain #forest #wood #smoke #wildfires #nature #disaster #firefighters #reportage #photojournalism #photoreporter #nikon #20mm #press #news #editorial #trees #treesfire  #fightfire #lightfires #night"
25,fire,"I'm in my room chillin waiting on the little sis to come by and when she gets here she asks me ""did you know there's a fire out side and the building is blowing up?"" confused as all he'll I went to look and this is what I see 
#DonDada #Dada #Dada0688 #Gnd #GoodNeverDies #LongIsland #StrongIsland #NewYork #CentralIslip #Illumni #IllumniEast #IllumniUp #IllumniTheFuckUp #SBR #SmokinBeatzRecords #LI #LINY #NY #CI #631 #BuildingFire #YinYang #Fire"
26,fire,"Monday, Labor Day, minutes before the closure of I-84 from the Eagle Creek Fire. 20 mins after I left the road was closed. 
#eaglecreekfire #forrestfire #gorge #sturgeoninterpretivecenter #boneville #eaglecreek #hwy30 #portland #oregon"
27,fire,#fire #collapse #buildingcollapse #houston #montrose #smoke #wdallas #apartmentfire #htx #scary
28,fire,Pictures from the fire at 308 S Peoria this morning. #tulsafire #Tulsa #918 #buildingfire
29,fire,"4-27-17  Westlake District DTLA, LAFD o/s Major Emergency structure fire at Bonnie Brae St x Wilshire Blvd  2 story Victorian and 4 story vacant apartment, fully involved. #structurefire #lafd #lafdpso #joinlafd #uflaclocal112 #dragon #westlakedistrict #fire #firefighters #chiefmiller #firefighters_daily #taskforce10 #dtla #majoremergency #apartmenthousefire #buildingfire #batt11 #losangelesfiredepartment #firephotography #rickmcclurephotography #firephotographer"
30,fire,"Isn't better to die once than everyday?

First of all being the real and historic neighbor of #Afghanistan we the people from #OccupiedBalochistan condemn Pakistan's terror attack on innocent women, children and people in the month of holly #Ramadan in strongest possible terms. 
We extend our sincere and deepest condolences to the brave people of #Afghanistan who have equally victims of Pakistani terrorism. We feel the pain equally because #Balochistan and #Afghanistan are two eyes of one body. 
We are very sad that still people in #Afghan government lending friendship hand towards #ISI which never forgive its own people. How they will forgive #Afghanistan? 
Two days before all the Scholars of Panjab #Lahore #Islamabad unanimously issued a #Fatwa terming the #Jihad,  #SuicideBombings as #Harram but today when they themselves conducting #SuicideBombing in #Kabul in the month of #RAMADAN none of these Panjabi Mullahs and #Muftis utter a single world against such inhuman acts by #ISI. 
Afghanistan government thinks if it helps to liberate #Balochistan and #Pashtunistna people #Pakistan #ISI will be unhappy?

Well for decades #ISI is killing your innocent women, children and countrymen if you support to #Liberate #Balochistan #Pashtunistan believe me the genocide of #BalochAfghan will stop forever. 
Bangladesh sacrificed 3 million #Bangali and today they are an independent State in 1971.

If Afghanistan could supported #FreeBalochistan movement during 1980 today there were no bomb blasts, suicide bombing on Afghan women and children because #NoPaksitanNoProblem.

#Afghanistan must come with courage to support #FreeBalochPashtunState to stop Pakistani terrorism forever. Isn't better to die once than everyday?
#BalochistanForAfghanistan"
31,fire,Not liking the look of this at all.. #Forrestfire #notgood #closetotown #prayforourcity #closetohome #scary #veiwfrommyhouse #May #firefighters
32,fire,"Pictures shows how the fire spread throughout the Glenfell Tower

Can you help Emergency Aid raise £1000 to Greenfell Tower Residents. Please donate to their JustGiving Crowdfunding Page: https://www.justgiving.com/crowdfunding/emergencyaid?utm_id=102
Link in bio
#grenfelltowerappeal #prayforgrenfell
#grenfelltower #Kensington #prayforwestlondon #emergencyaid #helptheunfortunate #buildingfire #westlondonfire #grenfellfire #charity #weareallthesame #justgiving #grenfell"
33,fire,#fire #forrestfire #montana #firefighters #hotshots this is horrible my home state is burning up !!! Texas send us some water 💦!!! We need it bad !!! This is why we must log !! Yes Forrest are designed to burn and replenish the soil with nutrients. But being able to someone what control that would be fantastic !!!
34,fire,"A long exposure of the #HolcombFire with the milky way above. 
#hlmphotography #firephotographer #wildfire #Forrestfire #longexposure #astrographer #chiefmiller #firefighters #holcombvalley #bigbear #fireseason2017 #canon"
35,fire,Well it doesn't appear the situation has improved. I took this pic last night at work. #forrestfire #mountains
36,fire,"The #DogHeadFire in #TorranceCounty this evening. The blaze started relatively small this morning and has since grown prompting the evacuations of several rural communities in the area. Tonight, I hope that all the effected families may find safe lodging and hopefully are able to return to a safe home soon. .
.
.
#Wildfire #Fire #ForrestFire"
37,fire,"""FDNY doing their Job"" #fdny #fdny343 #fdnyinsta #nyc #nyclife #nycfire343 #nycfirephotos #photographyislife #amazingshot #buildingcollapse #7alarm #manhattan #made_in_nyc #seagrave #fire #firetruck #samsungwb1100f #vsco #vscocam #vscohdr #vsco_nyc #vsco_images #midtown #manhattan #towerladder"
38,fire,I am deeply heatbroken and sad about what is happening in Fort Mcmurray. Those images are shocking to see. Please donate to the Canadian Red Cross.  Every cent and dollar counts. #fortmcmurray #alberta #canada #fire #sad #help #triste #besafe #aide #entraide #forrestfire #canadianredcross
39,fire,Warehouse on fire somewhere near Clapham Junction... @londonfirebrigade #london #clapham #buildingfire #fire #flames #train #battersea #londonsburning #firefire
40,fire,"Hot,hot,fire in crostia🙉🙊🙈 #fire #firefighter #brand#waldbrand#forrestfire #kroatien#split#adventure"
