area_numbe,comarea_,shape_area,perimeter,community,comarea_id,shape_len,area_num_1,area,NUMPOINTS
35,0.00000,46004621.15810,0.00000,DOUGLAS,0.00000,31027.05451,35,0.00000,433
36,0.00000,16913961.04080,0.00000,OAKLAND,0.00000,19565.50615,36,0.00000,66
37,0.00000,19916704.86920,0.00000,FULLER PARK,0.00000,25339.08975,37,0.00000,136
38,0.00000,48492503.15540,0.00000,GRAND BOULEVARD,0.00000,28196.83716,38,0.00000,702
39,0.00000,29071741.92830,0.00000,KENWOOD,0.00000,23325.16791,39,0.00000,292
4,0.00000,71352328.23990,0.00000,LINCOLN SQUARE,0.00000,36624.60308,4,0.00000,651
40,0.00000,42373881.48420,0.00000,WASHINGTON PARK,0.00000,28175.31609,40,0.00000,262
41,0.00000,45105380.17320,0.00000,HYDE PARK,0.00000,29746.70820,41,0.00000,306
42,0.00000,57815179.51200,0.00000,WOODLAWN,0.00000,46936.95924,42,0.00000,778
1,0.00000,51259902.45060,0.00000,ROGERS PARK,0.00000,34052.39758,1,0.00000,426
11,0.00000,64868161.68180,0.00000,JEFFERSON PARK,0.00000,44011.95717,11,0.00000,220
12,0.00000,89130893.63640,0.00000,FOREST GLEN,0.00000,74493.82160,12,0.00000,165
13,0.00000,70288706.43430,0.00000,NORTH PARK,0.00000,41581.94865,13,0.00000,185
14,0.00000,53542230.81910,0.00000,ALBANY PARK,0.00000,39339.01644,14,0.00000,517
15,0.00000,110196097.13900,0.00000,PORTAGE PARK,0.00000,46520.64214,15,0.00000,832
16,0.00000,89611382.31060,0.00000,IRVING PARK,0.00000,49083.22409,16,0.00000,1001
17,0.00000,103595001.17500,0.00000,DUNNING,0.00000,54555.99253,17,0.00000,394
18,0.00000,27576393.63250,0.00000,MONTCLARE,0.00000,22404.85214,18,0.00000,163
19,0.00000,109099414.68900,0.00000,BELMONT CRAGIN,0.00000,43311.70738,19,0.00000,1012
2,0.00000,98429094.86210,0.00000,WEST RIDGE,0.00000,43020.68946,2,0.00000,709
20,0.00000,32602059.40550,0.00000,HERMOSA,0.00000,27179.01744,20,0.00000,301
21,0.00000,55290595.47300,0.00000,AVONDALE,0.00000,34261.93340,21,0.00000,734
22,0.00000,100057566.70000,0.00000,LOGAN SQUARE,0.00000,49213.42175,22,0.00000,1599
23,0.00000,100480876.50200,0.00000,HUMBOLDT PARK,0.00000,48583.06433,23,0.00000,1406
24,0.00000,127562904.59700,0.00000,WEST TOWN,0.00000,55203.71870,24,0.00000,2104
25,0.00000,199254203.42700,0.00000,AUSTIN,0.00000,75226.47492,25,0.00000,2199
26,0.00000,36092848.81510,0.00000,WEST GARFIELD PARK,0.00000,26238.54198,26,0.00000,618
27,0.00000,53883220.84620,0.00000,EAST GARFIELD PARK,0.00000,31514.62596,27,0.00000,758
28,0.00000,158492466.55400,0.00000,NEAR WEST SIDE,0.00000,53003.59294,28,0.00000,1582
29,0.00000,89487422.02420,0.00000,NORTH LAWNDALE,0.00000,44959.45966,29,0.00000,1178
3,0.00000,65095642.72890,0.00000,UPTOWN,0.00000,46972.79455,3,0.00000,609
30,0.00000,127998297.86700,0.00000,SOUTH LAWNDALE,0.00000,49904.04521,30,0.00000,1360
31,0.00000,81550723.63770,0.00000,LOWER WEST SIDE,0.00000,43229.37270,31,0.00000,762
33,0.00000,49769639.45410,0.00000,NEAR SOUTH SIDE,0.00000,45053.16510,33,0.00000,299
34,0.00000,27766196.09540,0.00000,ARMOUR SQUARE,0.00000,31948.59884,34,0.00000,229
10,0.00000,121959105.47000,0.00000,NORWOOD PARK,0.00000,80368.37438,10,0.00000,353
8,0.00000,76675895.97280,0.00000,NEAR NORTH SIDE,0.00000,57293.16495,8,0.00000,2179
32,0.00000,46335565.45860,0.00000,LOOP,0.00000,39428.67300,32,0.00000,1466
43,0.00000,81812716.39580,0.00000,SOUTH SHORE,0.00000,44249.64612,43,0.00000,1250
44,0.00000,82320670.31120,0.00000,CHATHAM,0.00000,42006.94501,44,0.00000,920
45,0.00000,34852737.73660,0.00000,AVALON PARK,0.00000,27630.82253,45,0.00000,239
46,0.00000,93272185.00920,0.00000,SOUTH CHICAGO,0.00000,52435.97943,46,0.00000,752
47,0.00000,16995983.27370,0.00000,BURNSIDE,0.00000,18137.94425,47,0.00000,56
48,0.00000,48826241.56430,0.00000,CALUMET HEIGHTS,0.00000,32925.36587,48,0.00000,175
49,0.00000,134313706.73000,0.00000,ROSELAND,0.00000,56632.79543,49,0.00000,721
5,0.00000,57054167.85000,0.00000,NORTH CENTER,0.00000,31391.66975,5,0.00000,1020
50,0.00000,59001555.60200,0.00000,PULLMAN,0.00000,35572.06951,50,0.00000,159
51,0.00000,303797059.66000,0.00000,SOUTH DEERING,0.00000,80389.87180,51,0.00000,175
52,0.00000,83241728.04930,0.00000,EAST SIDE,0.00000,52274.19285,52,0.00000,245
53,0.00000,99365198.08220,0.00000,WEST PULLMAN,0.00000,50023.84300,53,0.00000,367
54,0.00000,98389497.41430,0.00000,RIVERDALE,0.00000,46455.44086,54,0.00000,79
55,0.00000,145965741.43700,0.00000,HEGEWISCH,0.00000,73692.38213,55,0.00000,154
