area_numbe,comarea_,shape_area,perimeter,community,comarea_id,shape_len,area_num_1,area,NUMPOINTS
35,0,46004621.16,0,DOUGLAS,0,31027.05451,35,0,23
36,0,16913961.04,0,OAKLAND,0,19565.50615,36,0,6
37,0,19916704.87,0,FULLER PARK,0,25339.08975,37,0,14
38,0,48492503.16,0,GRAND BOULEVARD,0,28196.83716,38,0,36
39,0,29071741.93,0,KENWOOD,0,23325.16791,39,0,15
4,0,71352328.24,0,LINCOLN SQUARE,0,36624.60308,4,0,13
40,0,42373881.48,0,WASHINGTON PARK,0,28175.31609,40,0,29
41,0,45105380.17,0,HYDE PARK,0,29746.7082,41,0,8
42,0,57815179.51,0,WOODLAWN,0,46936.95924,42,0,59
1,0,51259902.45,0,ROGERS PARK,0,34052.39758,1,0,31
11,0,64868161.68,0,JEFFERSON PARK,0,44011.95717,11,0,9
12,0,89130893.64,0,FOREST GLEN,0,74493.8216,12,0,8
13,0,70288706.43,0,NORTH PARK,0,41581.94865,13,0,7
14,0,53542230.82,0,ALBANY PARK,0,39339.01644,14,0,25
15,0,110196097.1,0,PORTAGE PARK,0,46520.64214,15,0,43
16,0,89611382.31,0,IRVING PARK,0,49083.22409,16,0,42
17,0,103595001.2,0,DUNNING,0,54555.99253,17,0,12
18,0,27576393.63,0,MONTCLARE,0,22404.85214,18,0,7
19,0,109099414.7,0,BELMONT CRAGIN,0,43311.70738,19,0,47
2,0,98429094.86,0,WEST RIDGE,0,43020.68946,2,0,41
20,0,32602059.41,0,HERMOSA,0,27179.01744,20,0,16
21,0,55290595.47,0,AVONDALE,0,34261.9334,21,0,37
22,0,100057566.7,0,LOGAN SQUARE,0,49213.42175,22,0,53
23,0,100480876.5,0,HUMBOLDT PARK,0,48583.06433,23,0,114
24,0,127562904.6,0,WEST TOWN,0,55203.7187,24,0,49
25,0,199254203.4,0,AUSTIN,0,75226.47492,25,0,251
26,0,36092848.82,0,WEST GARFIELD PARK,0,26238.54198,26,0,76
27,0,53883220.85,0,EAST GARFIELD PARK,0,31514.62596,27,0,60
28,0,158492466.6,0,NEAR WEST SIDE,0,53003.59294,28,0,42
29,0,89487422.02,0,NORTH LAWNDALE,0,44959.45966,29,0,119
3,0,65095642.73,0,UPTOWN,0,46972.79455,3,0,22
30,0,127998297.9,0,SOUTH LAWNDALE,0,49904.04521,30,0,69
31,0,81550723.64,0,LOWER WEST SIDE,0,43229.3727,31,0,40
33,0,49769639.45,0,NEAR SOUTH SIDE,0,45053.1651,33,0,1
34,0,27766196.1,0,ARMOUR SQUARE,0,31948.59884,34,0,6
10,0,121959105.5,0,NORWOOD PARK,0,80368.37438,10,0,19
8,0,76675895.97,0,NEAR NORTH SIDE,0,57293.16495,8,0,29
32,0,46335565.46,0,LOOP,0,39428.673,32,0,2
43,0,81812716.4,0,SOUTH SHORE,0,44249.64612,43,0,121
44,0,82320670.31,0,CHATHAM,0,42006.94501,44,0,87
45,0,34852737.74,0,AVALON PARK,0,27630.82253,45,0,15
46,0,93272185.01,0,SOUTH CHICAGO,0,52435.97943,46,0,83
47,0,16995983.27,0,BURNSIDE,0,18137.94425,47,0,13
48,0,48826241.56,0,CALUMET HEIGHTS,0,32925.36587,48,0,21
49,0,134313706.7,0,ROSELAND,0,56632.79543,49,0,141
5,0,57054167.85,0,NORTH CENTER,0,31391.66975,5,0,16
50,0,59001555.6,0,PULLMAN,0,35572.06951,50,0,10
51,0,303797059.7,0,SOUTH DEERING,0,80389.8718,51,0,19
52,0,83241728.05,0,EAST SIDE,0,52274.19285,52,0,17
53,0,99365198.08,0,WEST PULLMAN,0,50023.843,53,0,114
54,0,98389497.41,0,RIVERDALE,0,46455.44086,54,0,17
55,0,145965741.4,0,HEGEWISCH,0,73692.38213,55,0,6
56,0,117890778.4,0,GARFIELD RIDGE,0,60080.44797,56,0,19
57,0,55922505.72,0,ARCHER HEIGHTS,0,31880.02103,57,0,6
58,0,75892790.31,0,BRIGHTON PARK,0,36537.13431,58,0,43
59,0,39431799.65,0,MCKINLEY PARK,0,26014.09684,59,0,16
6,0,87214799.27,0,LAKE VIEW,0,51973.09687,6,0,58
60,0,58291519.28,0,BRIDGEPORT,0,32732.71833,60,0,33
61,0,134636963.3,0,NEW CITY,0,48133.59596,61,0,116
62,0,32711091.43,0,WEST ELSDON,0,26229.6956,62,0,5
63,0,61284896.11,0,GAGE PARK,0,32294.19591,63,0,21
64,0,71145192.38,0,CLEARING,0,45363.28617,64,0,8
65,0,82315301.68,0,WEST LAWN,0,41934.49013,65,0,19
66,0,98279465.12,0,CHICAGO LAWN,0,40073.09984,66,0,73
67,0,87947691.95,0,WEST ENGLEWOOD,0,40195.20331,67,0,167
68,0,85652323.08,0,ENGLEWOOD,0,42316.8443,68,0,137
69,0,98853167.71,0,GREATER GRAND CROSSING,0,54645.3303,69,0,105
7,0,88316400.47,0,LINCOLN PARK,0,49478.42777,7,0,30
70,0,135460337.2,0,ASHBURN,0,54818.15463,70,0,29
71,0,105065353.6,0,AUBURN GRESHAM,0,46757.72172,71,0,115
72,0,88779363.94,0,BEVERLY,0,44591.4851,72,0,16
73,0,79635752.88,0,WASHINGTON HEIGHTS,0,42222.59816,73,0,60
74,0,75584290.02,0,MOUNT GREENWOOD,0,48665.13054,74,0,8
75,0,91877340.7,0,MORGAN PARK,0,46396.41936,75,0,31
76,0,371835607.7,0,OHARE,0,173625.9847,76,0,8
77,0,48449990.84,0,EDGEWATER,0,31004.83095,77,0,24
9,0,31636313.79,0,EDISON PARK,0,25937.22684,9,0,6
