act_cat,category,tweet_id,text,date,retweet_count,geo,coordinates,place_id,place_centroid,place_country,place_country_code,place_full_name,place_name,place_type
NO,fire,1.1164E+18,"@billburr It's been 6 years for me, ever since I got drunk and lit my hair on fire with a cigar I got for $1 at Walgreens it just hasn't seemed worth it.",4/11/2019 17:40,0,,,,,,,,,
NO,fire,1.1164E+18,The Comet Is Coming - Summon The Fire https://t.co/jeaPtE10Gx via @YouTube,4/11/2019 17:39,0,,,,,,,,,
NO,fire,1.11639E+18,"Today marks the beginning of an intense 7-game series between my beloved Toronto Maple Leafs 🇨🇦 and @kevinduquette’s disgraced Boston Bruins 🇺🇸

May the best team (the Leafs) win.

Here’s a photo from when I beat Kevin 30-something-to-0 in NHL Hitz 20-02 to fire the first shot. https://t.co/hLHj0ENr33",4/11/2019 17:37,0,,,,,,,,,
NO,fire,1.11639E+18,"New episode is up!  @beccarusso2 joins @TheDBuzz and @Justin_Mikel to chat about temp employees, dating disasters, what a perfect day would be, and perfect foods.  Today is Becca's birthday so wish her a great one! #podcast #temps #dating

https://t.co/3c4khsM2nl",4/11/2019 17:37,1,,,,,,,,,
NO,fire,1.11639E+18,Can somebody send me fire lil mosey or lil tecca type beats email:cfmgjay@gmail.com,4/11/2019 17:36,1,,,,,,,,,
NO,fire,1.11639E+18,Now playing: Brutus - 'Fire' from 'Nest',4/11/2019 17:36,0,,,,,,,,,
NO,fire,1.11639E+18,@whitesox Fire #KenHahn,4/11/2019 17:34,0,,,,,,,,,
NO,fire,1.11639E+18,"I loved it @realDonaldTrump. Love the way #Trump2020 people think. They are really helping us. 

#QAnon
#WWG1WGA
#ThursdayMotivation #WikiLeaks #resistance #Resign #BarrCoverUp
#BlueWave2020 #TrumpCrimeFamily #ImpeachTrump #fire #BackfireTrump #Resist https://t.co/pSJzQRH3kX",4/11/2019 17:34,0,,,,,,,,,
NO,fire,1.11639E+18,Match Storylines pres. by NovaCare: Fire set for visit from Vancouver Whit... #CHIFire  https://t.co/6CziiCIxjU https://t.co/44aGfhMSpp,4/11/2019 17:34,0,,,,,,,,,
NO,fire,1.11639E+18,Signal Intel: Trouble Up North #cf97 #MLS #CHIvVAN https://t.co/T6metzKD8v https://t.co/FrEqdBKVsE,4/11/2019 17:33,0,,,,,,,,,
NO,fire,1.11639E+18,@dontshootskrlx Keep throwing out this fire! Haha welcome!,4/11/2019 17:32,0,,,,,,,,,
NO,fire,1.11639E+18,Chicago News Recent reports another adventure for Fire fans https://t.co/zKpnuIRd5K https://t.co/RNDcM50IIq,4/11/2019 17:32,0,,,,,,,,,
NO,fire,1.11639E+18,".@rubentisch chats with our friends at @86forever to get some advanced intel on the opposition for #CHIvVAN.

#cf97 #MLS https://t.co/esUzwmMhpb https://t.co/qRu1dIKZGt",4/11/2019 17:30,0,,,,,,,,,
NO,fire,1.11639E+18,dont let Lil Uzi outfit in the Bad and Bougie video distract from the pure fire he dropped in the verse,4/11/2019 17:29,0,,,,,,,,,
NO,fire,1.11639E+18,Im so over this fire crap how many times does been have 2 prove he's innocent? #Days. #Cin https://t.co/0EtE7gjP7Z,4/11/2019 17:27,0,,,,,,,,,
NO,fire,1.11639E+18,"The last 10 days have been something for Fire fans, haven't they? #cf97 https://t.co/NC2jlCiazQ",4/11/2019 17:27,1,,,,,,,,,
NO,fire,1.11639E+18,@marcowilcher Fire line no cap,4/11/2019 17:27,0,,,,,,,,,
NO,fire,1.11639E+18,maybe this would've actually took a stand if you could actually light something on fire instead of burning a quarter-sized hole in it https://t.co/LtVKf1WkNC,4/11/2019 17:26,0,,,,,,,,,
NO,fire,1.11639E+18,fire energy wants to consume everything,4/11/2019 17:26,0,,,,,,,,,
NO,fire,1.11639E+18,"@acastro131 @NinersNation The Wheather in Cali is the only thing Winning unfortunately besides the Rams &amp; Chargers
😂😭😭😭 he wants to come back to a WINNING Organization not a dumpster fire. 49ers is nothing but Offseason Hype and Can't win no more then 5 games.",4/11/2019 17:24,0,,,,,,,,,
NO,fire,1.11639E+18,Here we go with this fire crap again!! #Days. #Cin https://t.co/eT6sNKQQqq,4/11/2019 17:24,0,,,,,,,,,
NO,fire,1.11639E+18,@greeneggsnhobi he needs a place to live :( preferably fire proof 🥺🥺🥺,4/11/2019 17:23,0,,,,,,,,,
NO,fire,1.11639E+18,@jaytaylor03 @TechN9ne mf look fire! On my kids id take my kids here,4/11/2019 17:22,0,,,,,,,,,
NO,fire,1.11639E+18,@force3007 @NinersNation He doesn't want to be on a team who hasn't won more then 5 games and will be a complete dumpster fire again. He obviously wants to come back to Chiacgo a winning Team or the First NFL Player to get the FT would have signed it by now huh 🤷‍♂️😂😂😂,4/11/2019 17:21,0,,,,,,,,,
NO,fire,1.11639E+18,Nahhh I remember jadakiss and them going crazy at Goodz rounds. He had a San Antonio Spurs scheme that was elite. That was a fire battle https://t.co/ZAGCpfz2Xs,4/11/2019 17:19,0,,,,,,,,,
NO,fire,1.11639E+18,"@Paul_VanDerMeer @SmartLiberal800 The only way to know the TRUTH. #ThursdayMotivation #WikiLeaks #resistance #Resign #BarrCoverUp
#BlueWave2020 #TrumpCrimeFamily #ImpeachTrump #fire #BackfireTrump",4/11/2019 17:18,0,,,,,,,,,
NO,fire,1.11639E+18,"Are you woke yet. #ThursdayMotivation #WikiLeaks #resistance #Resign #BarrCoverUp
#BlueWave2020 #TrumpCrimeFamily #ImpeachTrump #fire #BackfireTrump https://t.co/9Ve36FRYBJ",4/11/2019 17:12,0,,,,,,,,,
NO,fire,1.11639E+18,@s_mcclellan_ I ain’t goin lie bro dom ain’t been droppin that fire he use to like when we were in college tho,4/11/2019 17:12,0,,,1d9a5370a355ab0c,"-87.67181069718896,41.833584450000004",United States,US,"Chicago, IL",Chicago,city
NO,fire,1.11639E+18,@iamscarpelli I just ordered it. It's going to end up being my 4th Schweinsteiger Fire jersey.,4/11/2019 17:10,0,,,,,,,,,
NO,fire,1.11639E+18,"@thehill DemoCraps celebrates , see who they really are. GOD bless you TRUMP 

all that happened because of the american wars of freedom and democracy that set the middle east on fire.

https://t.co/e3ReeM4UCx",4/11/2019 17:09,0,,,,,,,,,
NO,fire,1.11639E+18,Man in critical condition after fire at Aurora townhouse https://t.co/ZoM3Z702CP https://t.co/PPetexdIJw,4/11/2019 17:08,0,,,,,,,,,
NO,fire,1.11639E+18,@Raising_Canes  is so fire. Hangry no more after that box combo 😋 https://t.co/p3HwvnIZ9L,4/11/2019 17:07,0,,,,,,,,,
NO,fire,1.11639E+18,Only the Kings would fire the coach that led them to their most relevant season in over a decade... https://t.co/Y5LT7sQpaY,4/11/2019 17:06,0,,,,,,,,,
